Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1903,-.21,.12,-.14,-.45,-.42,-.44,-.43,-.54,-.48,-.48,-.42,-.56,-.37,-.37,-.23,-.34,-.47,-.46
1904,-.76,-.59,-.40,-.49,-.44,-.48,-.59,-.54,-.64,-.39,-.08,-.34,-.48,-.50,-.64,-.44,-.54,-.37
1905,-.41,-.81,-.23,-.45,-.28,-.27,-.21,-.23,-.19,-.27,.09,-.17,-.29,-.30,-.52,-.32,-.24,-.12
1906,-.56,-.53,-.21,.04,-.24,-.11,-.26,-.17,-.24,-.17,-.40,.03,-.23,-.25,-.42,-.14,-.18,-.27
1907,-.58,-.73,-.31,-.45,-.58,-.51,-.40,-.38,-.40,-.19,-.55,-.57,-.47,-.42,-.43,-.45,-.43,-.38
1908,-.54,-.27,-.70,-.48,-.30,-.30,-.36,-.57,-.31,-.44,-.63,-.55,-.45,-.46,-.46,-.49,-.41,-.46
1909,-.93,-.46,-.67,-.66,-.49,-.52,-.44,-.35,-.37,-.33,-.11,-.57,-.49,-.49,-.65,-.60,-.44,-.27
1910,-.35,-.37,-.49,-.41,-.29,-.44,-.37,-.40,-.43,-.31,-.58,-.81,-.44,-.42,-.43,-.40,-.40,-.44
1911,-.70,-.58,-.64,-.45,-.45,-.33,-.36,-.44,-.38,-.19,-.20,-.30,-.42,-.46,-.70,-.51,-.38,-.26
1912,-.34,-.16,-.60,-.15,-.12,-.14,-.52,-.77,-.81,-.84,-.51,-.56,-.46,-.44,-.27,-.29,-.48,-.72
1913,-.55,-.64,-.47,-.50,-.54,-.49,-.51,-.46,-.42,-.40,-.14,.11,-.42,-.47,-.59,-.50,-.49,-.32
1914,.17,-.10,-.35,-.39,-.18,-.22,-.33,-.27,-.30,-.01,-.22,-.05,-.19,-.17,.06,-.31,-.28,-.17
1915,-.26,-.09,-.24,.07,-.02,-.12,-.10,-.16,-.21,-.27,-.03,-.26,-.14,-.12,-.14,-.06,-.13,-.17
1916,-.09,-.16,-.38,-.34,-.35,-.50,-.34,-.37,-.49,-.35,-.47,-1.13,-.41,-.34,-.17,-.36,-.40,-.43
1917,-.53,-.69,-.75,-.65,-.73,-.49,-.33,-.40,-.31,-.63,-.32,-1.06,-.58,-.58,-.79,-.71,-.41,-.42
1918,-.70,-.46,-.25,-.59,-.49,-.46,-.34,-.36,-.25,-.04,-.22,-.56,-.39,-.44,-.74,-.44,-.39,-.17
1919,-.38,-.41,-.38,-.23,-.42,-.39,-.33,-.30,-.19,-.09,-.48,-.55,-.35,-.35,-.45,-.34,-.34,-.25
1920,-.15,-.28,.00,-.20,-.21,-.26,-.25,-.31,-.35,-.39,-.45,-.71,-.30,-.28,-.33,-.14,-.27,-.40
1921,.19,-.08,-.11,-.17,-.24,-.15,-.03,-.29,-.17,.00,-.09,-.13,-.11,-.15,-.20,-.17,-.15,-.09
1922,-.37,-.62,-.11,-.16,-.19,-.15,-.28,-.36,-.43,-.32,-.13,-.14,-.27,-.27,-.37,-.15,-.26,-.30
1923,-.18,-.46,-.39,-.53,-.39,-.24,-.28,-.27,-.17,.07,.16,.09,-.22,-.24,-.26,-.43,-.26,.02
1924,-.28,-.21,.03,-.28,-.05,-.19,-.22,-.26,-.22,-.23,.11,-.36,-.18,-.14,-.13,-.10,-.22,-.12
1925,-.28,-.38,-.22,-.15,-.21,-.25,-.25,-.18,-.04,-.08,.22,.22,-.13,-.18,-.34,-.20,-.22,.03
1926,.53,.19,.38,-.11,-.22,-.19,-.19,-.05,-.01,.07,.17,-.29,.02,.07,.31,.01,-.14,.08
1927,-.28,-.08,-.46,-.26,-.12,-.14,-.07,-.16,.03,.24,.11,-.37,-.13,-.12,-.22,-.28,-.12,.13
1928,.27,.10,-.22,-.31,-.16,-.31,-.10,-.18,-.15,-.07,.06,-.03,-.09,-.12,.00,-.23,-.20,-.05
1929,-.55,-.79,-.18,-.35,-.27,-.39,-.35,-.19,-.19,-.01,-.02,-.65,-.33,-.28,-.46,-.27,-.31,-.07
1930,-.10,-.19,.11,-.15,-.19,-.11,-.02,.02,-.01,.02,.44,.09,-.01,-.07,-.31,-.08,-.04,.15
1931,.01,-.23,-.05,-.19,-.13,.16,.08,.10,.17,.37,.26,.11,.05,.05,-.04,-.12,.11,.27
1932,.39,-.18,-.19,.11,-.09,-.13,-.14,-.08,.11,.15,-.32,-.20,-.05,-.02,.11,-.06,-.12,-.02
1933,-.18,-.30,-.31,-.16,-.25,-.31,-.13,-.14,-.28,-.17,-.24,-.54,-.25,-.22,-.23,-.24,-.20,-.23
1934,-.14,.33,-.27,-.29,.08,-.01,-.03,-.09,-.13,.13,.27,.18,.00,-.06,-.12,-.16,-.05,.09
1935,-.39,.57,.04,-.34,-.28,-.14,-.04,-.06,-.05,.12,-.32,-.16,-.09,-.06,.12,-.20,-.08,-.08
1936,-.28,-.50,-.12,-.06,.00,.04,.09,.03,.07,.07,.15,.15,-.03,-.06,-.31,-.06,.05,.10
1937,.09,.25,-.23,-.07,.13,.15,.15,.16,.29,.33,.25,.00,.12,.14,.16,-.06,.15,.29
1938,.35,.28,.34,.31,.03,-.06,-.02,.08,.15,.32,.31,-.13,.16,.17,.21,.23,.00,.26
1939,.03,-.01,-.24,-.07,.01,.00,.05,.08,.13,.08,.24,.79,.09,.01,-.04,-.10,.04,.15
1940,-.10,.14,.03,.28,.16,.16,.15,.07,.26,.29,.30,.36,.18,.21,.27,.16,.13,.28
1941,.18,.47,.12,.12,.23,.21,.24,.19,.10,.50,.18,.19,.23,.24,.34,.16,.21,.26
1942,.41,-.08,-.01,.09,.16,.10,-.01,-.08,.11,.28,.26,.27,.13,.12,.17,.08,.01,.22
1943,-.10,.38,-.01,.31,.23,-.07,-.03,.10,.13,.46,.36,.37,.18,.17,.18,.18,.00,.32
1944,.62,.44,.31,.18,.23,.17,.14,.17,.36,.44,.19,-.01,.27,.30,.47,.24,.16,.33
1945,.11,-.06,.10,.29,.08,.08,.07,.29,.21,.24,.09,-.21,.11,.12,.02,.16,.15,.18
1946,.35,.10,.12,.32,.04,-.05,-.03,-.09,-.03,.02,.08,-.45,.03,.05,.08,.16,-.06,.02
1947,-.04,-.03,.29,.23,.07,.01,-.03,-.04,-.01,.41,.19,-.04,.08,.05,-.17,.20,-.02,.20
1948,.30,-.14,-.27,-.03,.17,.05,.02,.03,-.03,.08,.04,-.39,-.02,.01,.04,-.04,.03,.03
1949,.23,-.09,.04,-.03,.01,-.20,-.11,-.04,-.10,.07,.05,-.14,-.03,-.05,-.09,.01,-.12,.01
1950,-.29,-.27,.06,-.21,-.04,-.06,-.18,-.19,-.09,-.06,-.33,-.13,-.15,-.15,-.23,-.07,-.15,-.16
1951,-.36,-.51,-.18,.07,.17,-.02,.08,.22,.34,.29,.08,.38,.05,.00,-.33,.02,.10,.24
1952,.17,.17,-.22,.17,.15,.16,.14,.07,.14,-.01,-.21,.01,.06,.09,.24,.04,.12,-.03
1953,.24,.37,.26,.41,.25,.25,.22,.18,.17,.27,.09,.22,.24,.23,.21,.30,.22,.18
1954,-.24,.00,-.16,-.01,-.07,-.04,-.11,-.01,.09,.13,.34,-.11,-.02,.01,-.01,-.08,-.05,.19
1955,.42,-.12,-.43,-.24,-.13,-.10,-.05,.06,-.02,.12,-.34,-.29,-.09,-.08,.06,-.27,-.03,-.08
1956,-.04,-.32,-.23,-.26,-.30,-.20,-.20,-.28,-.32,-.28,-.26,-.11,-.23,-.25,-.22,-.26,-.23,-.29
1957,-.13,-.06,-.10,-.09,-.06,.12,.11,.16,.12,.06,.12,.24,.04,.01,-.10,-.08,.13,.10
1958,.68,.28,.16,.02,.12,.05,.04,.13,.07,.08,.03,.18,.15,.16,.40,.10,.07,.06
1959,.23,.16,.33,.22,.04,.14,.05,.09,.13,-.04,.03,.10,.12,.13,.19,.19,.09,.04
1960,.15,.42,-.40,-.13,.03,.18,.08,.11,.12,.05,-.08,.39,.08,.05,.22,-.16,.12,.03
1961,.17,.29,.22,.14,.07,.18,.06,.04,-.03,-.04,.07,-.17,.08,.13,.28,.14,.09,.00
1962,.28,.36,.30,.22,.02,-.13,.10,.03,-.02,.13,.12,.10,.13,.10,.16,.18,.00,.07
1963,.07,.50,-.12,.04,-.04,-.04,.10,.14,.13,.42,.43,.03,.14,.15,.22,-.04,.07,.33
1964,-.04,-.03,-.32,-.30,-.10,-.09,-.13,-.23,-.28,-.31,-.22,-.27,-.19,-.17,-.01,-.24,-.15,-.27
1965,-.02,-.37,-.10,-.26,-.14,-.20,-.18,-.20,-.20,-.02,.04,-.08,-.14,-.16,-.22,-.16,-.20,-.06
1966,-.25,.03,.00,-.22,-.05,.06,.11,.14,.06,-.10,.02,-.03,-.02,-.02,-.10,-.09,.10,-.01
1967,-.18,-.37,.23,.05,.21,-.06,.04,.06,-.03,.29,.04,.02,.03,.02,-.19,.16,.02,.10
1968,-.29,-.16,.44,-.01,-.06,-.05,-.08,-.08,-.04,.00,-.22,-.33,-.07,-.04,-.14,.12,-.07,-.09
1969,-.43,-.46,-.20,.03,.11,-.04,.06,.05,.04,.03,.14,.30,-.03,-.08,-.40,-.02,.02,.07
1970,-.03,.27,-.07,-.02,.00,.02,-.04,-.05,-.05,-.20,.01,-.31,-.04,.01,.18,-.03,-.03,-.08
1971,-.14,-.21,-.28,-.20,-.12,-.14,-.13,-.16,-.14,-.16,-.02,-.13,-.15,-.17,-.22,-.20,-.14,-.10
1972,-.54,-.52,.01,-.11,-.15,-.10,-.05,-.08,-.26,-.04,-.19,-.04,-.17,-.18,-.40,-.09,-.08,-.16
1973,.16,.44,.32,.19,.09,.16,.04,.03,-.08,-.07,-.09,-.04,.09,.09,.18,.20,.08,-.08
1974,-.25,-.35,.02,-.10,-.19,-.18,-.12,-.11,-.16,-.23,-.21,-.27,-.18,-.16,-.21,-.09,-.14,-.20
1975,.16,.09,.11,.05,-.02,-.08,-.06,-.14,-.08,-.18,-.30,-.22,-.05,-.06,.00,.05,-.09,-.19
1976,.05,-.12,-.31,.02,-.26,-.20,-.26,-.21,-.12,-.51,-.32,-.25,-.21,-.20,-.10,-.18,-.22,-.32
1977,-.16,.11,.26,.25,.23,.22,.08,.02,.13,-.02,.28,.02,.12,.10,-.10,.25,.11,.13
1978,.16,.04,.21,.07,-.06,-.14,-.08,-.14,-.01,-.01,.16,.02,.02,.02,.08,.08,-.12,.05
1979,-.05,-.35,.18,-.17,.01,.08,.05,.04,.19,.23,.25,.54,.08,.04,-.13,.01,.06,.22
1980,.21,.41,.07,.15,.25,.19,.13,.09,.10,.11,.20,.09,.17,.21,.39,.16,.14,.14
1981,.79,.63,.67,.39,.18,.28,.09,.16,.14,.23,.35,.54,.37,.33,.50,.41,.18,.24
1982,-.13,.17,.06,.17,.09,.01,.05,-.07,.06,.00,-.11,.38,.06,.07,.19,.11,.00,-.02
1983,.55,.35,.43,.07,.05,.11,.20,.25,.26,.12,.49,.11,.25,.27,.43,.18,.19,.29
1984,.33,.02,.18,-.07,.23,.09,.09,.06,-.04,.09,-.10,-.42,.04,.08,.16,.12,.08,-.02
1985,.08,-.29,.00,-.04,.09,.00,-.08,-.02,.03,.02,.03,.16,.00,-.05,-.21,.02,-.03,.03
1986,.37,.31,.26,.15,.20,.14,-.02,.04,-.02,.09,.04,.06,.14,.14,.28,.20,.05,.04
1987,.25,.51,.00,.07,.23,.17,.26,.27,.39,.22,.10,.51,.25,.21,.27,.10,.23,.24
1988,.59,.46,.47,.44,.43,.40,.42,.26,.26,.23,.06,.43,.37,.38,.52,.45,.36,.18
1989,.08,.39,.46,.32,.22,.24,.32,.26,.23,.25,.12,.33,.27,.28,.30,.33,.27,.20
1990,.47,.55,1.16,.71,.50,.48,.33,.41,.42,.48,.46,.38,.53,.52,.45,.79,.40,.45
1991,.59,.56,.45,.56,.33,.47,.43,.35,.36,.29,.32,.20,.41,.42,.51,.45,.42,.32
1992,.61,.50,.54,.16,.19,.04,-.10,-.07,-.18,-.17,-.09,.21,.14,.14,.44,.30,-.04,-.15
1993,.39,.52,.39,.23,.32,.22,.12,.03,-.06,.12,-.21,.22,.19,.19,.37,.31,.12,-.05
1994,.34,-.04,.49,.48,.39,.42,.34,.32,.33,.55,.50,.36,.37,.36,.17,.45,.36,.46
1995,.75,1.19,.59,.71,.42,.51,.37,.54,.43,.60,.57,.27,.58,.59,.77,.57,.47,.53
1996,.27,.55,.32,.17,.35,.25,.29,.18,.04,.05,.35,.35,.26,.26,.36,.28,.24,.15
1997,.36,.60,.74,.49,.42,.49,.41,.48,.51,.63,.59,.51,.52,.51,.44,.55,.46,.58
1998,.62,1.03,.72,.87,.66,.73,.75,.72,.61,.54,.49,.74,.71,.69,.72,.75,.73,.55
1999,.59,1.00,.29,.54,.36,.35,.35,.30,.41,.39,.53,.66,.48,.49,.78,.40,.34,.44
2000,.38,.89,.83,.89,.54,.44,.42,.47,.36,.29,.19,.27,.50,.53,.65,.76,.44,.28
2001,.56,.46,.76,.60,.69,.51,.63,.68,.56,.60,.98,.66,.64,.61,.43,.68,.61,.71
2002,1.02,1.14,1.11,.51,.52,.68,.66,.55,.63,.54,.79,.43,.71,.73,.94,.71,.63,.65
2003,.93,.57,.66,.61,.71,.54,.68,.86,.78,.98,.66,.98,.75,.70,.64,.66,.70,.81
2004,.67,.92,.87,.70,.52,.47,.50,.55,.59,.70,.98,.45,.66,.70,.86,.69,.51,.76
2005,.94,.72,.94,.93,.77,.79,.75,.69,.90,.95,1.05,.83,.86,.82,.70,.88,.74,.97
2006,.65,.95,.78,.59,.76,.81,.69,.69,.82,.96,.95,1.16,.82,.79,.81,.71,.73,.91
2007,1.45,.89,.95,1.07,.72,.65,.66,.73,.67,.83,.82,.77,.85,.88,1.17,.91,.68,.77
2008,.34,.59,1.14,.65,.60,.61,.60,.59,.57,.86,.96,.66,.68,.69,.57,.79,.60,.80
2009,.82,.70,.59,.70,.66,.68,.68,.72,.85,.79,.84,.67,.72,.72,.72,.65,.69,.83
2010,.80,.94,1.10,1.13,.94,.84,.89,.86,.70,.89,1.20,.50,.90,.91,.80,1.06,.86,.93
2011,.61,.56,.88,.84,.66,.76,.73,.71,.73,.90,.66,.89,.74,.71,.56,.79,.73,.76
2012,.68,.59,.71,1.06,.97,.94,.85,.76,.86,.91,.97,.46,.81,.85,.72,.91,.85,.91
2013,.85,.78,.81,.68,.78,.77,.70,.74,.70,.83,1.12,.83,.80,.77,.69,.76,.73,.88
2014,.97,.72,1.20,1.08,.90,.81,.77,.91,.83,.93,.80,1.09,.92,.90,.84,1.06,.83,.86
2015,1.18,1.19,1.33,1.02,1.04,1.05,.91,1.02,1.17,1.29,1.38,1.53,1.17,1.14,1.15,1.13,.99,1.28
2016,1.54,1.94,1.91,1.47,1.11,1.11,1.04,1.12,1.22,1.03,1.12,1.04,1.30,1.35,1.67,1.50,1.09,1.12
2017,1.38,1.51,1.52,1.19,.92,.92,.96,1.01,1.00,1.05,1.22,1.37,1.17,1.14,1.31,1.21,.97,1.09
2018,1.14,1.24,1.17,.96,1.00,.86,.90,.86,.96,1.24,.97,1.08,1.03,1.06,1.25,1.05,.87,1.06
2019,1.20,1.12,1.54,1.24,.98,1.19,1.03,1.08,1.21,1.30,1.20,1.39,1.21,1.18,1.13,1.26,1.10,1.24
2020,1.58,1.70,1.66,1.40,1.28,1.13,1.10,1.13,1.20,1.21,1.61,1.23,1.35,1.37,1.56,1.45,1.12,1.34
2021,1.26,.96,1.20,1.12,1.03,1.20,1.06,1.02,1.05,1.31,1.31,1.14,1.14,1.15,1.15,1.12,1.10,1.22
2022,1.24,1.17,1.42,1.09,1.01,1.12,1.05,1.17,1.15,1.32,1.09,1.06,1.16,1.16,1.18,1.17,1.11,1.19
2023,1.28,1.32,1.59,1.02,***,***,***,***,***,***,***,***,***,***,1.22,***,***,***
